,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2431,9908,大台北,135473.0,4376008.0,32.3,32.4,32.25,32.4,0.1,136.0
1200,9910,豐泰,1203840.0,192874335.0,160.0,161.5,159.5,160.0,0.0,1040.0
2432,9910,豐泰,1665218.0,262735770.0,159.0,160.0,156.5,157.0,-3.0,1924.0
1201,9911,櫻花,467629.0,41614444.0,89.1,89.6,88.4,89.3,0.2,901.0
2433,9911,櫻花,1103703.0,94698146.0,87.7,87.7,84.9,85.9,-1.9,1366.0
1202,9912,偉聯,22341.0,260802.0,11.65,11.7,11.6,11.65,-0.1,223.0
2434,9912,偉聯,159492.0,1804893.0,11.6,11.75,11.15,11.45,-0.1,410.0
1203,9914,美利達,5959623.0,1408941049.0,235.0,243.0,231.5,235.5,7.5,10402.0
2435,9914,美利達,1746469.0,402139498.0,233.5,233.5,227.5,229.5,-3.5,4391.0
1204,9917,中保科,428258.0,53401434.0,123.5,126.0,123.0,125.0,0.5,492.0
2436,9917,中保科,792213.0,99504013.0,125.5,126.5,124.0,125.5,0.0,864.0
1205,9918,欣天然,10645.0,437556.0,40.15,41.45,40.15,41.45,0.0,272.0
2437,9918,欣天然,18894.0,782500.0,41.05,41.55,41.05,41.5,0.1,478.0
1206,9919,康那香,2418802.0,52250126.0,21.9,21.95,21.4,21.45,-0.35,808.0
2438,9919,康那香,1415084.0,28818737.0,20.75,20.75,20.15,20.55,-0.2,822.0
1207,9921,巨大,4045647.0,911957929.0,220.5,229.5,220.0,225.0,1.5,13192.0
2439,9921,巨大,2621643.0,582224709.0,224.5,225.0,219.0,222.5,-5.0,5028.0
1208,9924,福興,753337.0,40478728.0,54.6,54.6,53.4,53.5,-0.9,693.0
2440,9924,福興,858867.0,44731831.0,53.0,53.0,51.4,52.0,-1.1,819.0
1209,9925,新保,141679.0,5840154.0,41.2,41.3,41.1,41.25,0.05,127.0
2441,9925,新保,369097.0,15158041.0,41.3,41.3,40.95,41.0,-0.3,274.0
1210,9926,新海,10483.0,574961.0,54.3,55.3,54.3,54.6,-0.2,15.0
2442,9926,新海,154.0,8446.0,,,,,0.0,9.0
1211,9927,泰銘,395544.0,29615297.0,74.6,75.3,74.5,74.6,0.1,406.0
2443,9927,泰銘,1226392.0,89018317.0,73.9,73.9,72.0,72.3,-1.7,994.0
1212,9928,中視,98967.0,1746977.0,17.95,17.95,17.45,17.5,-0.2,77.0
2444,9928,中視,169488.0,2890146.0,17.35,17.35,16.95,17.15,-0.1,110.0
1213,9929,秋雨,3000.0,45900.0,15.2,15.35,15.2,15.35,0.0,3.0
2445,9929,秋雨,4015.0,62577.0,15.6,15.6,15.55,15.6,0.0,5.0
1214,9930,中聯資源,83301.0,5018034.0,60.1,60.3,60.1,60.3,0.1,80.0
